"Participant","RT","ISI","Response_Type","Trial_Score","Total_Score","Threshold","Valid_Trial","Valid_Trial_Count","Stimulus_Size","Stimulus_X","Stimulus_Y","Stimulus_Orientation"
"S049",0.312409980773926,2.07059001922607,"slow",0,4395,0.305098950263214,TRUE,111,0.476097226142883,-687.526611328125,-104.464416503906,0.992456376552582
"S049",0.336304917907715,1.84679508209229,"slow",0,4395,0.305872624723816,TRUE,112,0.510527491569519,643.94921875,-380.652160644531,0.999080002307892
"S049",0.346597532272339,3.26990246772766,"slow",0,4395,0.306242392730713,TRUE,113,0.696810066699982,467.262451171875,-229.081665039062,-0.484167098999023
"S049",0.296379445648193,3.01972055435181,"fast",168,4563,0.30661216073761,TRUE,114,0.50294691324234,-416.44775390625,45.5901107788086,-0.131254523992538
"S049",0.322715460395813,1.39388453960419,"slow",0,4563,0.306242392730713,TRUE,115,0.321689546108246,-371.098693847656,64.495002746582,0.737773478031158
"S049",0.252119068145752,2.01438093185425,"fast",177,4740,0.30661216073761,TRUE,116,0.579630613327026,-595.878540039062,-182.803253173828,-0.967963457107544
"S049",0.267390632629394,1.63260936737061,"fast",174,4914,0.306242392730713,TRUE,117,0.524906158447266,408.705352783203,-359.968536376953,0.51440817117691
"S049",0.328808627755737,1.85449147224426,"slow",0,4914,0.305872624723816,TRUE,118,0.332036793231964,784.056396484375,-62.3557510375977,0.819573283195496
"S049",0.294075294494629,2.48942470550537,"fast",168,5082,0.306242392730713,TRUE,119,0.339833199977875,798.008117675781,-377.773773193359,-0.687821507453918
"S049",0.395904995727539,1.52089500427246,"slow",0,5082,0.305872624723816,TRUE,120,0.50884485244751,510.137512207031,-121.815559387207,-0.847658574581146
"S049",0.388785618154907,2.29441428184509,"slow",0,5082,0.306242392730713,TRUE,121,0.449186325073242,707.074462890625,-33.7669067382812,-0.0269113481044769
"S049",0.272134636633301,2.3114652633667,"fast",173,5255,0.30661216073761,TRUE,122,0.626174211502075,-768.41796875,-331.657531738281,0.300005078315735
"S129",0.410593015670776,1.67140698432922,"slow",0,0,0.375,TRUE,1,0.333312690258026,-490.384338378906,-55.1232757568359,0.809017062187195
