"Participant","SimpleRT_EarlyPresses","DoggoNogo_EarlyPresses","Recruitment","Condition","Experiment_StartDate","Experiment_Duration","SimpleRT_start","SimpleRT_end","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Refresh_Rate","Gender","Age","Handedness","Education","Student","Discipline","Ethnicity","Country","Experiment_Enjoyment","Experiment_Feedback","Assessment_Enjoyment_DoggoNogo","Assessment_Enjoyment_Simple","Assessment_Duration_DoggoNogo","Assessment_Duration_Simple","Assessment_Repeat_DoggoNogo","Assessment_Repeat_Simple","Education.Comment","Discipline.Comment","Gender.Comment","DoggoNogo_ID","DoggoNogo_Study","DoggoNogo_Start","DoggoNogo_End","DoggoNogo_Level1_N","DoggoNogo_L1_Start","DoggoNogo_L1_End","DoggoNogo_Duration","SimpleRT_Duration"
"S115",0.0563380281690141,0.0212765957446809,"SONA","SimpleFirst",2024-12-01 18:50:52,17.0767,63174,509854,"safari 15.6.1","false","Mac OS",1279,749,60.36,"Female",20,"Right-handed","Bachelor",TRUE,"Psychology, Neuroscience","White","United Kingdom",4,NA,2,2,10,10,-3,-1,NA,NA,NA,"SSvZUWL01122024","DoggoNogoValidation",2024-12-01 19:00:18,2024-12-01 19:07:36,150,2024-12-01 19:00:27,2024-12-01 19:07:36,7.3,7.44466666666667
"S112",0.0204081632653061,0.00900900900900901,"SONA","DoggoFirst",2024-11-30 23:00:16,20.2354166666667,688621,1174639,"edge-chromium 131.0.0","false","Windows 10",1272,674,61.21,"Female",20,"Right-handed","High school",TRUE,NA,"Mixed","United Kingdom",1,NA,4,0,5,10,-1,-4,NA,NA,NA,"G0jbdXa30112024","DoggoNogoValidation",2024-11-30 23:02:48,2024-11-30 23:10:51,150,2024-11-30 23:03:00,2024-11-30 23:10:51,8.05,8.1003
"S098",0.0948905109489051,0.0666666666666667,"SONA","DoggoFirst",2024-11-28 15:12:08,108.38545,5729301,6471039,"safari 16.5.2","false","Mac OS",1512,865,53,"Female",20,"Right-handed","Bachelor",TRUE,"Psychology, Neuroscience","White","United Kingdom",0,NA,3,0,10,4,-3,-3,NA,NA,NA,"z4qdVSx28112024","DoggoNogoValidation",2024-11-28 15:14:08,2024-11-28 16:42:35,150,2024-11-28 15:14:17,2024-11-28 16:42:35,88.45,12.3623
"S040",0.00671140939597315,0.01,"SONA","DoggoFirst",2024-11-23 00:51:36,18.1704166666667,614171,1052142,"safari 17.0.0","false","Mac OS",1328,738,59.7,"Female",19,"Right-handed","High school",TRUE,NA,"White","United Kingdom",3,NA,5,2,12,10,1,-1,NA,NA,NA,"WB81Ld223112024","DoggoNogoValidation",2024-11-23 00:53:07,2024-11-23 01:00:04,150,2024-11-23 00:53:17,2024-11-23 01:00:04,6.95,7.29951666666667
"S074",0.0344827586206897,0.0232558139534884,"SONA","DoggoFirst",2024-11-26 10:26:21,18.7275,654877,1104978,"safari 16.5.0","false","Mac OS",1710,914,30.15,"Female",19,"Right-handed","High school",TRUE,NA,"White","United Kingdom",1,NA,2,1,6,5,-1,-2,NA,NA,NA,"UgoSPR926112024","DoggoNogoValidation",2024-11-26 10:27:36,2024-11-26 10:36:42,150,2024-11-26 10:27:45,2024-11-26 10:36:42,9.1,7.50168333333333
"S091",0.0204081632653061,0.00884955752212389,"SONA","DoggoFirst",2024-11-27 16:43:45,20.1675,719315,1162499,"chrome 130.0.0","false","Chrome OS",1250,661,61.08,"Female",24,"Right-handed","Bachelor",TRUE,"Psychology, Neuroscience","White","United Kingdom",3,"Cute dog :)",7,4,7.5,6.5,4,-1,NA,NA,NA,"ll8dcPc27112024","DoggoNogoValidation",2024-11-27 16:46:14,2024-11-27 16:54:29,150,2024-11-27 16:46:30,2024-11-27 16:54:29,8.25,7.3864
"S142",0.0344827586206897,0.0103092783505155,"SONA","SimpleFirst",2024-12-04 19:25:56,18.2698833333333,73702,579964,"safari 17.1.2","false","Mac OS",1440,820,30.29,"Female",21,"Right-handed","Bachelor",TRUE,"Psychology, Neuroscience","White","United Kingdom",3,NA,5,6,8,5,1,0,NA,NA,NA,"FW0RVAR04122024","DoggoNogoValidation",2024-12-04 19:37:00,2024-12-04 19:43:44,150,2024-12-04 19:37:11,2024-12-04 19:43:44,6.73333333333333,8.4377
"S154",0.0714285714285714,0.00862068965517241,"SONA","SimpleFirst",2024-12-05 20:02:24,20.1819166666667,87442,552841,"crios 131.0.6778","true","iOS",980,644,58.54,"Female",19,"Right-handed","High school",TRUE,NA,"White","United Kingdom",1,NA,1,0,10,8,-2,-2,NA,NA,NA,"zoO7RtL05122024","DoggoNogoValidation",2024-12-05 20:13:08,2024-12-05 20:21:45,150,2024-12-05 20:13:17,2024-12-05 20:21:45,8.61666666666667,7.75665
"S147",0.0344827586206897,0.0265486725663717,"SONA","DoggoFirst",2024-12-05 01:33:01,20.3022166666667,704547,1185057,"safari 17.4.1","false","Mac OS",1228,745,30.14,"Female",19,"Right-handed","Bachelor",TRUE,"Psychology, Neuroscience","Mixed","United Kingdom",2,NA,4,1,10,11,-3,-3,NA,NA,NA,"tNLQdDR05122024","DoggoNogoValidation",2024-12-05 01:35:29,2024-12-05 01:43:47,150,2024-12-05 01:35:45,2024-12-05 01:43:47,8.3,8.0085
"S158",0.136363636363636,0.0377358490566038,"SONA","SimpleFirst",2024-12-06 12:59:11,23.1850333333333,68287,608433,"safari 15.6.1","false","Mac OS",1440,820,60.12,"Female",19,"Right-handed","High school",TRUE,NA,"White","United Kingdom",2,NA,3,2,20,8,-4,-2,NA,NA,NA,"1q23aG306122024","DoggoNogoValidation",2024-12-06 13:13:51,2024-12-06 13:21:40,150,2024-12-06 13:14:02,2024-12-06 13:21:40,7.81666666666667,9.00243333333333
"S015",0.0638297872340425,0.0645161290322581,"SONA","DoggoFirst",2024-11-20 17:27:28,19.82885,654563,1160217,"chrome 130.0.0","false","Mac OS",1280,678,60.54,"Female",18,"Right-handed","High school",TRUE,NA,"White","United Kingdom",2,NA,2,1,5,10,-1,-2,NA,NA,NA,"LxlpIFN20112024","DoggoNogoValidation",2024-11-20 17:29:03,2024-11-20 17:37:44,150,2024-11-20 17:29:12,2024-11-20 17:37:44,8.68333333333333,8.42756666666667
"S034",0.119402985074627,0.0163934426229508,"SONA","DoggoFirst",2024-11-22 13:06:39,20.0693666666667,667001,1171966,"chrome 130.0.0","false","Mac OS",1470,832,61.12,"Female",19,"Right-handed","High school",TRUE,NA,"South Asian","United Kingdom",2,NA,4,3,7,10.5,-1,-1,NA,NA,NA,"mQdoezr22112024","DoggoNogoValidation",2024-11-22 13:08:24,2024-11-22 13:17:01,150,2024-11-22 13:08:34,2024-11-22 13:17:01,8.61666666666667,8.41608333333333
"S108",0.0869565217391304,0.0567375886524823,"SONA","SimpleFirst",2024-11-29 18:11:54,23.6616833333333,51318,633249,"chrome 131.0.0","false","Mac OS",1440,778,61.04,"Female",20,"Right-handed","High school",TRUE,NA,"East Asian","United Kingdom",1,"doggo game kept saying almost which was infuriating",0,0,13,8,-4,-3,NA,NA,NA,"AWVY2Gw29112024","DoggoNogoValidation",2024-11-29 18:23:42,2024-11-29 18:33:56,150,2024-11-29 18:23:53,2024-11-29 18:33:56,10.2333333333333,9.69885
"S002",0.111111111111111,0.0285714285714286,"SONA","DoggoFirst",2024-11-19 14:45:07,21.2899833333333,706953,1255604,"safari 17.2.0","false","Mac OS",1194,791,60.91,"Female",18,"Right-handed","High school",TRUE,NA,"Black","United Kingdom",3,NA,4,1,10,15,-2,-3,NA,NA,NA,"hW2KDp119112024","DoggoNogoValidation",2024-11-19 14:47:01,2024-11-19 14:55:22,150,2024-11-19 14:47:13,2024-11-19 14:55:22,8.35,9.14418333333333
