"Participant","RT","ISI","Response_Type","Trial_Score","Total_Score","Threshold","Valid_Trial","Valid_Trial_Count","Stimulus_Size","Stimulus_X","Stimulus_Y","Stimulus_Orientation"
"S062",0.472324132919312,2.52767586708069,"slow",0,3258,0.376377017974853,TRUE,99,0.566085696220398,-437.964080810547,-280.447235107422,-0.358367323875427
"S062",0.502081966400147,1.59791803359985,"slow",0,3258,0.377078548431396,TRUE,100,0.441897004842758,-378.924133300781,-112.96452331543,-0.942641317844391
"S062",0.756328947067261,3.97567105293274,"missed",0,3258,0.377762026786804,FALSE,100,0.55966854095459,-569.61279296875,61.6799430847168,0.0436186753213406
"S062",0.426742783546448,1.73925721645355,"slow",0,3258,0.378445505142212,TRUE,101,0.679948031902313,668.129333496094,-356.362884521484,-0.983063519001007
"S062",0.341155464172363,2.19084453582764,"fast",168,3426,0.37856063747406,TRUE,102,0.322790324687958,-702.345886230469,-267.824890136719,0.852092266082764
"S062",0.362420844078064,1.13657915592194,"fast",164,3590,0.378445505142212,TRUE,103,0.687899172306061,-599.270141601562,-129.285247802734,-0.655267953872681
"S062",0.350646415710449,1.11535358428955,"fast",166,3756,0.377762026786804,TRUE,104,0.480915427207947,-629.075317382812,-213.990051269531,0.155399471521378
"S062",0.316289694786072,1.61671030521393,"fast",172,3928,0.377078548431396,TRUE,105,0.635155260562897,546.080322265625,-256.450469970703,0.737984836101532
"S062",0.394224139077759,3.77177596092224,"slow",0,3928,0.376377017974853,TRUE,106,0.376016616821289,-515.681274414062,-119.949066162109,-0.754021763801575
"S062",0.339722942352295,3.55927705764771,"fast",168,4096,0.377078548431396,TRUE,107,0.342826366424561,-515.143676757812,68.565544128418,-0.0620943903923035
"S062",0.363970518112183,1.13602948188782,"fast",164,4260,0.376377017974853,TRUE,108,0.54850846529007,-748.635437011719,-71.0358428955078,0.232426345348358
"S062",0.35253712272644,1.91346287727356,"fast",166,4426,0.37567548751831,TRUE,109,0.66292017698288,488.513488769531,-297.203216552734,0.743845582008362
"S062",0.366173084259033,3.96682691574097,"fast",163,4589,0.374790211200714,TRUE,110,0.455595254898071,715.582946777344,137.906036376953,-0.9915811419487
"S062",0.355628538131714,3.44437146186829,"fast",165,4754,0.373904934883118,TRUE,111,0.48168021440506,680.482482910156,115.798469543457,-0.98917019367218
"S062",0.417556150436401,2.7154438495636,"slow",0,4754,0.37334929227829,TRUE,112,0.332290351390839,-797.647827148438,-471.203186035156,-0.259831130504608
"S062",0.424962313652038,1.00803768634796,"slow",0,4754,0.373904934883118,TRUE,113,0.574422121047974,-600.11962890625,-282.500518798828,0.283010423183441
"S062",0.338929294586181,3.36007070541382,"fast",168,4922,0.374790211200714,TRUE,114,0.448932230472565,-768.085510253906,41.7106170654297,0.359346091747284
"S062",0.358574079513549,3.64042592048645,"fast",165,5087,0.373904934883118,TRUE,115,0.589901268482208,-676.09326171875,-57.6738662719727,-0.641984581947327
"S062",0.343811391830444,1.85518860816956,"fast",167,5254,0.37334929227829,TRUE,116,0.45336526632309,549.339965820312,-376.200927734375,-0.655267894268036
"S042",0.395152961294556,1.30374693870544,"slow",0,0,0.375,TRUE,1,0.399056971073151,-527.43212890625,-380.630187988281,0.0871557369828224
"S042",0.353742060470581,2.29605793952942,"fast",168,168,0.395152961294556,TRUE,2,0.47007417678833,665.047607421875,139.690963745117,0.882947623729706
"S042",0.39578720626831,3.73731279373169,"slow",0,168,0.374447510882568,TRUE,3,0.326018035411835,-322.843139648438,-466.677307128906,-0.951056599617004
"S042",-1.24521986413727,1.47831976413727,"early",-100,68,0.395152961294556,FALSE,3,0,0,0,0
"S042",0.371128816223144,3.32847118377686,"fast",165,233,0.395152961294556,TRUE,4,0.688903987407684,-380.627258300781,-243.14860534668,0.999847769737244
"S042",0.776185737283325,1.30711436271667,"missed",0,233,0.38314088875885,FALSE,4,0.515746772289276,427.32861328125,30.3586959838867,0.580703020095825
"S042",0.4502919008255,1.3649080991745,"slow",0,233,0.395152961294556,TRUE,5,0.372145861387253,443.537963867188,-56.7341918945312,-0.0837127566337585
"S042",0.332141535186768,3.91775846481323,"fast",171,404,0.395470083781433,TRUE,6,0.587322890758514,526.639343261719,-243.14875793457,0.590577363967896
